Przychody_ogolem;Aktywa_ogolem;Zobowiazania_ogolem;Zysk_netto;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;Grupujaca
10,19;0,06;25,87;0,31;592,86;-1,29;3,04;1950;0;0;2,15;0;0,01;0,01;0,01;-67,17;1385,2;17,13;-43033,33;UpadloϾ
0,39;0,04;0,21;0,07;226,83;-44,64;17,95;175;0;23,13;37,44;0;0,17;0,17;0,06;-4;0;94,92;-450;UpadloϾ
6,83;1,02;4,23;1,68;165,42;-52,43;24,6;164,71;1,93;31,33;54,51;128,26;0,23;0,22;0,03;-3,17;235,56;99,46;-314,71;UpadloϾ
0,64;0,06;0,09;0,08;128;-384;12,5;133,33;0,3;0;34,22;0;0,71;0,7;0,45;-0,33;0;100;-33,33;UpadloϾ
0,37;0,13;0,1;0,13;105,36;395,97;35,14;107,69;0;33,57;128,24;9,86;0,49;0,49;0,12;-0,38;8,58;100;30,77;UpadloϾ
0,63;0,11;0,33;0,12;99,68;-50,48;19,05;109,09;0,75;47,72;63,73;0;0,34;0,33;0,02;-2,09;0;100;-200;UpadloϾ
1,05;0,17;0,02;0,14;89,66;99,62;13,33;82,35;0;9,27;59,1;0;9,78;9,78;0;0,76;0;100;88,24;UpadloϾ
0,02;0,02;0,27;0,01;71,21;-6,32;50;50;0;48,91;365;182,5;0,08;0,08;0,05;-11,5;41,74;100;-1250;UpadloϾ
0,98;0,14;0,16;0,09;58,57;-352,28;9,18;71,43;0;5,97;52,14;0;0,86;0,86;0;-0,14;0;100;-14,29;UpadloϾ
0,5;0,88;0,72;0,42;45,77;253,36;84;47,73;0;0;642,4;7,3;0,02;0,02;0;-0,74;0,78;87,89;18,18;UpadloϾ
0,87;0,58;0,48;0,28;45,73;269,17;32,18;60,34;15,16;161,35;243,33;41,95;1,2;1,13;0,01;0,17;15,96;100;17,24;UpadloϾ
0,14;0,15;0,43;0,06;45,27;-24,21;42,86;40;0;73,33;391,07;495,36;0,36;0,36;0,06;-1,53;162,31;91,02;-186,67;UpadloϾ
0,44;0,32;1,03;0,13;39,18;17,49;29,55;40,63;44,09;0;265,45;0;0,1;0,05;0;-3;0;100;221,88;UpadloϾ
6,6;1,05;0,66;0,4;36,57;28838,05;6,06;46,67;6,43;22,68;58,07;0;1,53;1,36;0;0,35;0;100,5;0;UpadloϾ
1,95;0,38;0,24;0,14;36,55;97,9;7,18;42,11;7,24;49,95;71,13;0;1,51;1,35;0,2;0,32;0;100;36,84;UpadloϾ
10,37;15,64;5,46;5,18;35,93;55,21;49,95;33,12;23,07;11,67;550,49;26,05;2,02;1,9;0,02;0,33;5,11;100;65,09;UpadloϾ
0,21;0,14;0,46;0,05;33,82;-15,1;23,81;35,71;0;107,97;243,33;0;0,31;0,31;0,15;-2,29;0;100;-228,57;UpadloϾ
0,25;0,1;0,41;0,03;32,85;-10,27;12;30;73,53;9,24;146;14,6;0,8;0,26;0,12;-0,2;334,31;22,09;-310;UpadloϾ
0,24;0,29;6,92;0,09;30,06;-1,3;37,5;31,03;147,09;13,32;441,04;0;0,04;0,03;0;-22,86;0;100;-2286,21;UpadloϾ
1,47;0,55;0,97;0,13;22,88;-29,39;8,84;23,64;0;58,64;136,56;22,35;0,56;0,56;0,3;-0,8;15,87;100;-78,18;UpadloϾ
0,11;0,12;1,79;0,02;22,44;-1,58;18,18;16,67;0;0;398,18;5076,82;0,01;0,01;0;-13,58;1414,39;100;-1400;UpadloϾ
3;0,54;0,31;0,13;22,03;52,55;4,33;27,78;4,86;30,26;65,7;0;1,7;1,58;0,77;0,43;0;100;42,59;UpadloϾ
15,33;0,63;0,38;0,14;20,29;52,1;0,91;26,98;1,24;5,03;15;0;3,29;2,98;0,04;0,65;34,53;43,48;38,1;UpadloϾ
286,4;5,31;2,41;1,05;19,86;36,4;0,37;24,29;0,15;2,85;6,77;0,9;2,2;2,15;0;0,55;13,47;100;54,61;UpadloϾ
1,88;5,68;2,85;0,89;17,04;34,21;47,34;15,67;55,36;429,97;1102,77;83,48;1,59;1,42;0,01;0,16;8,29;58,81;49,82;UpadloϾ
17,52;5,27;4,51;0,81;16,72;115,81;4,62;20,49;8,05;43,13;109,79;0;1,06;0,98;0,04;0,05;0;100;14,42;UpadloϾ
0,48;0,6;0,34;0,09;15,11;35,41;18,75;20;0;415,69;456,25;30,42;1,74;1,74;0,09;0,45;6,79;100;43,33;UpadloϾ
1,05;0,15;0,39;0,02;15,09;-9,39;1,9;13,33;2,84;1,01;52,14;0;0,38;0,36;0;-1,67;2,81;100;-160;UpadloϾ
4,33;2,98;2,16;0,39;13,17;47,86;9,01;13,09;0;178,73;251,2;17,7;1,36;1,36;0,02;0,27;6,99;100;27,52;UpadloϾ
0,59;1;0,84;0,13;12,68;79,52;22,03;13;239,48;152,62;618,64;117,54;0,86;0,4;0;-0,12;18,44;100;16;UpadloϾ
0,12;0,45;0,07;0,05;11,12;13,1;41,67;11,11;247,47;374,9;1368,75;0;6,64;5,44;0,02;0,84;0,01;100;84,44;UpadloϾ
8,43;9,55;11,03;1,01;10,59;-68,41;11,98;10,58;372,72;27,29;413,49;463,72;0,85;0,06;0,01;-0,18;112,11;100;-15,5;UpadloϾ
16,33;4,47;3,23;0,35;8,42;30,41;2,14;8,95;0;32,86;99,91;0;1,37;1,37;0,1;0,24;0;99,59;27,74;UpadloϾ
0,98;0,31;0,25;0,02;7,78;40,11;2,04;9,68;0;60,24;115,46;0;1,59;1,59;0;0,32;30;64,55;19,35;UpadloϾ
0,08;0,18;0,39;0,01;7,62;-6,54;12,5;5,56;40,41;421,05;821,25;0;0,41;0,39;0,06;-1,17;0;100;-116,67;UpadloϾ
23,12;6,55;4,39;0,42;6,88;20,81;1,82;9,31;0,22;69,96;103,41;0;1,44;1,44;0,22;0,27;0;100;33,13;UpadloϾ
370,66;73,54;42,64;4,44;6,04;14,37;1,2;7,67;32,28;17,59;72,42;10,53;2,8;1,35;0,17;0,55;40,2;52,98;42,02;UpadloϾ
4,58;2,64;2,61;0,14;5,41;461,29;3,06;5,3;101,49;13,44;210,39;37,46;1,19;0,18;0,01;0,09;69,05;48,12;1,14;UpadloϾ
1,71;15,21;10,75;0,69;4,9;16,71;40,35;7,03;0;220,12;3246,58;81,11;0,2;0,2;0;-0,25;35,42;48,81;29,32;UpadloϾ
2,91;2,3;1,71;0,11;4,74;18,47;3,78;4,78;88,94;45,67;288,49;74;1,1;0,56;0;0,06;43,09;76,68;25,65;UpadloϾ
9,82;6,85;4,62;0,32;4,52;13,84;3,26;4,96;11,1;184,46;254,61;15,98;1,18;1,12;0,02;0,11;6,83;99,77;32,7;UpadloϾ
0,83;0,52;0,48;0,02;4,51;57,64;2,41;3,85;60,23;19,53;228,67;0;1,05;0,76;0,01;0,04;0;100;7,69;UpadloϾ
0,18;0,22;0,12;0,01;4,24;9,57;5,56;4,55;61,34;2,86;446,11;0;0,26;0,02;0;-0,36;0;100;45,45;UpadloϾ
1,08;0,39;0,37;0,02;4,16;96,69;1,85;5,13;87,29;29,63;131,81;27,04;1,14;0,35;0,06;0,1;33,44;88,13;5,13;UpadloϾ
7,89;10,66;8,68;0,45;4,12;22,21;5,7;5,25;4,88;28,31;493,14;100,85;1,08;1,06;0,01;0,04;36,4;60,5;18,57;UpadloϾ
0,23;1,5;2,08;0,06;3,93;-10,12;26,09;4;15,23;2128,11;2380,43;174,57;0,79;0,78;0;-0,25;29,14;83,95;-38,67;UpadloϾ
0,76;0,42;0,4;0,02;3,75;125,21;2,63;4,76;77,96;18,13;201,71;0;1,32;0,44;0,22;0,14;0;45,61;2,38;UpadloϾ
68,94;11,39;9,48;0,42;3,66;21,77;0,61;4,04;13,01;42,62;60,3;4,77;1,18;0,92;0;0,15;7,9;100;16,77;UpadloϾ
41,3;24,91;23,47;0,9;3,59;62,24;2,18;2,45;11,67;47,4;220,15;22,89;0,47;0,41;0,01;-0,49;10,38;98,26;5,78;UpadloϾ
